date, pm25, pm10, o3, no2, so2, co
2018/9/21, 57, 24, 44, 4, , 
2018/9/22, 56, 23, 51, 5, , 
2018/9/23, 56, 22, 53, 3, , 
2018/9/24, 53, 19, 27, 1, , 
2018/9/25, 47, 16, 41, 4, , 
2018/9/26, 43, 20, 35, 4, , 
2018/9/27, 58, 21, 40, 7, , 
2018/9/28, 54, 23, 41, 8, , 
2018/9/29, 55, 34, 45, 5, , 
2018/9/30, 57, 30, 42, 3, , 
2018/10/1, 60, 23, 37, 2, , 
2018/4/2, 27, , 34, 6, , 
2018/4/3, 27, , 33, 6, , 
2018/4/4, 41, , 34, 5, , 
2018/4/5, 22, , 32, 9, , 
2018/4/6, 28, , 30, 7, , 
2018/4/7, 35, , 32, 8, , 
2018/4/8, 42, , 33, 6, , 
2018/4/9, 23, , 35, 7, , 
2018/4/10, 19, , 34, 9, , 
2018/4/11, 19, , 35, 7, , 
2018/4/12, 20, , 32, 9, , 
